language,lat,lon,cantidad_vocales,md_file
Quechua Ayacucho,-13.16,-74.225,promedio,quechua_ayacucho.md
Aymara La Paz,-16.5,-68.15,grande,aymara_lapaz.md
Kawki,-12.56,-75.1,pequeño,kawki.md
Uru Chipaya,-18.725,-69.25,grande,uru_chipaya.md
Jaqaru,-12.63,-75.36,promedio,jaqaru.md
